StreamName,Latitude,Longitude,,,,
Allen Creek (RB),48.060979,-122.155644,,,,
Anderson Creek,47.833507,-122.067572,,,,
Anderson Creek (LB),47.825621,-122.061964,,,,
Anderson Creek 15.0412,47.829198,-122.059972,,,,
Ashton Creek (LB),48.247650,-121.681104,,,,
,,,,,,
Bacon Creek (RB),48.660678,-121.434017,,,,
,,,,,,
Barker Creek,47.657371,-122.658100,,,,
Barnes Creek (LB),48.039827,-123.741800,,,,
,,,,,,
Bear Creek (RB),47.712776,-122.085835,,,,
Bear Creek (RB) 15.0510,47.712776,-122.085836,,,,
Beaver Creek (RB),48.085448,-124.276893,,,,
Beckler River (RB),47.791025,-121.298762,,,,
,,,,,,
Benson Creek (RB),48.296430,-119.986036,,,,
Bertrand Creek (RB),48.912320,-122.534579,,,,
Big Creek (RB),47.587314,-123.719041,,,,
Big Mission Creek 15.0495,47.484573,-122.867730,,,,
Big Quilcene River 17.0012,47.799655,-122.982349,,,,
,,,,,,
Bjorgen Creek,47.722074,-122.617044,,,,
Blackjack Creek 15.0203,47.503618,-122.646171,,,,
Boise Creek (RB) 10.0057,47.194417,-121.938545,,,,
Bosworth Lake Creek (LB),48.039609,-121.970166,,,,
Boulder Creek (RB),48.587847,-120.106767,,,,
Boulder River (LB),47.253319,-120.624129,,,,
,,,,,,
Boyd Creek 01.0490,48.888650,-121.862049,,,,
Boyd Lake Creek,48.059849,-121.923101,,,,
Bridal Veil Creek (LB),47.794934,-121.566289,,,,
Brown Creek (RB),47.427011,-123.284186,,,,
Buck Creek (RB),47.009316,-121.570207,,,,
Bulson Creek(LB),48.341018,-122.290239,,,,
Burley Creek 15.0056,47.444680,-122.627620,,,,
Canyon Creek (RB),48.835624,-122.074953,,,,
Canyon Lake Creek,48.830237,-122.062088,,,,
Canyonfalls Creek (RB) 10.0410,47.139189,-122.207044,,,,
Carbon River (RB) 10.0413,47.130648,-122.232910,,,,
Careys Creek (RB),47.427447,-121.971016,,,,
Carpenter Creek (RB),47.813713,-122.520089,,,,
Carpenters Creek (RB),47.999822,-121.95416,,,,
Cascade Creek (LB),48.634318,-122.834975,,,,
Catherine Creek (LB),45.733198,-121.386692,,,,
Cavanaugh Creek (RB),48.639068,-122.063275,,,,
Cedar River,47.420269,-122.042206,,,,
,,,,,,
,,,,,,
,,,,,,
Chimacum Creek 17.0203,47.996792,-122.774807,,,,
Chuckanut Creek,48.695873,-122.457235,,,,
Clarks Creek (LB) 10.0022,47.209843,-122.340684,,,,
Clear Creek,48.160405,-121.602721,,,,
Clear Creek (LB) 10.0022,48.154868,-121.605060,,,,
Clearwater River (LB) 10.0080,47.546190,-124.291856,,,,
Coal Creek,46.200100,-123.016743,,,,
Coal Creek (LB),46.193681,-123.025732,,,,
Coal Creek (RB),46.211150,-122.993975,,,,
Colony Creek,48.581861,-122.403078,,,,
Cool Creek,48.123105,-120.724664,,,,
Cornell Creek (LB),48.896545,-121.979473,,,,
Cottage Lake Creek (RB),47.728946,-122.077544,,,,
Cougar Kinman Creek,45.642446,-122.280695,,,,
Coulter Creek 15.0002,47.446812,-122.763930,,,,
Courtney Creek (RB) 15.0505,47.475561,-122.835122,,,,
Crescent Creek 15.0099,47.366463,-122.579144,,,,
,,,,,,
Curley Creek,47.510945,-122.562028,,,,
,,,,,,
,,,,,,
Deadhorse Creek (LB),48.860610,-121.823230,,,,
,,,,,,
,,,,,,
Deer Creek (LB),48.273069,-121.929578,,,,
Deer Creek (RB),48.282873,-121.927162,,,,
Deschutes River,47.001000,-122.894748,,,,
Dewatto River 15.0420,47.471903,-123.020010,,,,
Dickerson Creek (RB),47.554668,-122.742946,,,,
Diobsud Creek (RB),48.601628,-121.494259,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Double Ditch Creek,48.972357,-122.474150,,,,
Downey Creek (RB),48.311562,-121.175094,,,,
,,,,,,
Dry Creek (RB),47.507143,-123.328257,,,,
Dubuque Creek (LB),47.997561,-122.009080,,,,
East Fork Carpenter Creek,48.009859,-121.945259,,,,
East Fork Chimacum Creek (RB),47.997154,-122.758358,,,,
East Fork Issaquah Creek (RB),47.532149,-121.989161,,,,
East Fork South Trib Tarboo Creek,47.868620,-122.809348,,,,
East Fork Stossel Creek,47.712424,-121.834153,,,,
East Fork Tarboo Creek (LB) 17.0130,47.872405,-122.792508,,,,
Edfro Creek (RB),48.671084,-122.093735,,,,
,,,,,,
Elwell Creek (LB),47.813090,-121.850896,,,,
Ennis Creek,48.076360,-123.404908,,,,
Ennis Creek (LB),48.041332,-123.415757,,,,
Evans Creek (LB),46.966278,-121.976803,,,,
,,,,,,
Falls Creek (LB),48.500658,-120.837860,,,,
,,,,,,
Fennel Creek (Kelly Creek) (RB) 10.0406,47.169301,-122.178189,,,,
Finney Creek (LB),48.439699,-121.740280,,,,
Fish Creek (LB),48.414006,-121.962647,,,,
,,,,,,
Fiske Creek (RB) 10.0596,47035555,-122.180957,,,,
Foss River (LB),47.673186,-121.295741,,,,
Found Creek (LB),48.461953,-121.256631,,,,
Fox Creek (RB),47.923613,-120.500542,,,,
Foye Creek (LB),47.825861,-121.960683,,,,
French Creek (LB),47.897966,-122.041243,,,,
Furland Creek (LB),48.254212,-121.692861,,,,
Gallop Creek (LB),48.869382,-121.951386,,,,
,,,,,,
Glacier Creek (LB),48.847496,-121.901558,,,,
,,,,,,
Gold Creek (LB),47.392515,-121.380715,,,,
Goodell Creek (RB),48.731557,-121.317605,,,,
Gorst Creek,47.528923,-122.724343,,,,
Grant Creek (RB),48.276871,-122.013041,,,,
Green Creek (LB),47.323326,-121.907480,,,,
Griffin Creek (RB),47.606118,-121.886766,,,,
Grovers Creek,47.773827,-122.556647,,,,
,,,,,,
Harding Creek,46.115895,-122.879330,,,,
Harris Creek (RB),47.700941,-121.899324,,,,
Haynie Creek,48.977734,-122.653519,,,,
Hedrick Creek (LB),48.884085,-121.989989,,,,
Heins Creek (LB),47.541627,-122.721414,,,,
Hemple Creek (LB),48.076093,-121.745209,,,,
High Rock Creek (LB),47.836098,-121.953760,,,,
,,,,,,
,,,,,,
Hoko River,48.256267,-124.365592,,,,
Howard Creek (RB),47.870104,-121.424845,,,,
Hutchinson Creek (RB),48.706499,-122.178765,,,,
Illabot Creek (LB),48.427751,-121.416449,,,,
